"","num","Differences","sequencename"
"1",1,637,"gi|8486156|ref|NC_002209.1|Influenza_B_virus|NA|NA|NA|NA"
"2",2,647,"gi|443611830|gb|KC436084.1|A/Gilroy/231/2011_H1N1_|Apr_2011|2011|USA|NA"
"3",3,643,"gi|380719882|gb|CY111052.1|A/Taiwan/NTU2266/2010_H1N1_|30_Apr_2010|2010|Taiwan|AS"
"4",4,642,"gi|563407058|dbj|AB847957.2|A/Hokkaido/T64LP4/2009_H1N1_|2009|2009|Japan|AS"
"5",5,641,"gi|380719884|gb|CY111053.1|A/Taiwan/NTU340/2010_H1N1_|19_Jan_2010|2010|Taiwan|AS"
"6",6,642,"gi|316987041|gb|CY057047.1|A/England/94600039/2009_H1N1_|27_Oct_2009|2009|United_Kingdom|EU"
"7",7,643,"gi|316987033|gb|CY057043.1|A/England/94280034/2009_H1N1_|06_Oct_2009|2009|United_Kingdom|EU"
"8",8,638,"gi|302176764|gb|HM998844.1|A/Inner_Mongolia/01/2009_H1N1_|27_Jul_2009|2009|China|AS"
"9",9,642,"gi|380719880|gb|CY111051.1|A/Taiwan/NTU9129/2009_H1N1_|07_Dec_2009|2009|Taiwan|AS"
"10",10,641,"gi|316987079|gb|CY057066.1|A/England/94780026/2009_H1N1_|29_Oct_2009|2009|United_Kingdom|EU"
"11",11,641,"gi|316987091|gb|CY057072.1|A/England/94920015/2009_H1N1_|25_Nov_2009|2009|United_Kingdom|EU"
"12",12,641,"gi|316987071|gb|CY057062.1|A/England/94780021/2009_H1N1_|18_Nov_2009|2009|United_Kingdom|EU"
"13",13,641,"gi|316987089|gb|CY057071.1|A/England/94920013/2009_H1N1_|22_Nov_2009|2009|United_Kingdom|EU"
"14",14,640,"gi|316987081|gb|CY057067.1|A/England/94780029/2009_H1N1_|29_Oct_2009|2009|United_Kingdom|EU"
"15",15,642,"gi|316987039|gb|CY057046.1|A/England/94600038/2009_H1N1_|02_Nov_2009|2009|United_Kingdom|EU"
"16",16,641,"gi|316987083|gb|CY057068.1|A/England/94780031/2009_H1N1_|22_Oct_2009|2009|United_Kingdom|EU"
"17",17,640,"gi|316987067|gb|CY057060.1|A/England/94780010/2009_H1N1_|22_Oct_2009|2009|United_Kingdom|EU"
"18",18,640,"gi|316987037|gb|CY057045.1|A/England/94600034/2009_H1N1_|26_Oct_2009|2009|United_Kingdom|EU"
"19",19,642,"gi|302176768|gb|HM998846.1|A/Inner_Mongolia/04/2009_H1N1_|23_Sep_2009|2009|China|AS"
