Virus,A->G Syn: CpG v NonCpG ,A->G NonSyn: CpG v NonCpG,A->G Syn v NonSyn,T->C Syn: CpG v NonCpG ,T->C NonSyn: CpG v NonCpG,T->C Syn v NonSyn,,syn vs nonsyn
Bk Polyoma VP1,1,0,1,1,0,1,,2
Dengue 1,1,1,1,1,1,1,,2
Dengue 2,1,0,1,1,1,1,,2
Dengue 3,1,1,1,1,1,1,,2
Dengue 4,1,0,1,1,1,1,,2
Entero A VP1,1,0,1,1,0,1,,2
Entero A VP2,1,0,1,0,0,1,,2
Entero B VP1,1,0,1,0,0,1,,2
Entero B VP2,1,0,1,1,0,1,,2
Entero C VP1,0,0,0,0,0,0,,0
Entero C VP2,1,0,1,1,0,1,,2
Entero D VP1,1,0,1,1,0,1,,2
Hepatitis B Polymerase,1,0,1,1,0,1,,2
Hepatitis B Precore,0,0,0,0,0,0,,0
Hepatitis B PTP,0,0,0,0,1,0,,0
Hepatitis B S,0,0,0,1,1,0,,0
Hepatitis B PreS,0,0,1,0,0,1,,2
Hepatitis B Core,0,0,1,0,0,1,,2
Human Boca 1 VP1,1,0,1,0,0,1,,2
Human Herpes 2 glycoprotein G,0,0,0,0,0,1,,1
Human Papilloma 16 L1,0,0,1,0,0,1,,2
Human Parainfluenza 1 F,0,0,1,1,0,1,,2
Human Parainfluenza 1 HN,0,0,1,1,0,1,,2
Human Parainfluenza 1,1,0,1,1,0,1,,2
Human Parainfluenza 3 HN,0,0,1,1,0,1,,2
Human Parainfluenza 3,0,0,1,1,0,1,,2
Human Respiratory Syncytial G,0,1,0,0,1,1,,1
Human Respiratory Syncytial,1,1,0,1,1,0,,0
Influenza A H1N1 HA,1,1,1,1,1,1,,2
Influenza A H3N2 HA,1,1,1,1,1,1,,2
Influenza A H3N2 NA,1,0,1,1,1,1,,2
Influenza A H1N1 NA,1,0,1,1,1,1,,2
Influenza B HA,1,1,1,1,1,1,,2
Influenza B NA,1,0,1,1,0,1,,2
Measles HH,1,0,1,1,1,1,,2
Parvo B19 NS1,1,0,1,1,0,1,,2
Parvo B19 VP1,1,0,1,1,0,1,,2
Rhino B,1,1,0,1,1,0,,0
Rhino C,1,1,0,0,0,0,,0
Rota A VP6,1,0,1,1,0,1,,2
HIV pol gene,1,1,1,1,0,1,,2
HCV 1 A,1,0,1,1,0,1,,2
HCV 1 B,1,0,1,1,1,1,,2
,30,10,34,31,16,36,,70
,0.697674419,0.23255814,0.790697674,0.720930233,0.372093023,0.837209302,,0.795454545
,,,,,,,,
,,,,,,,,
,0.608527132,,,,,,,
