"","num","Differences","sequencename"
"1",1,3171,"gi|421976864|gb|JQ513499.1|Human_bocavirus|2007|2007|Greece|EU"
"2",2,3166,"gi|421976849|gb|JQ513494.1|Human_bocavirus|2007|2007|Greece|EU"
"3",3,3155,"gi|421976846|gb|JQ513493.1|Human_bocavirus|2007|2007|Greece|EU"
"4",4,3130,"gi|490147108|gb|KC544962.1|Human_bocavirus_1|2009|2009|Argentina|SA"
"5",5,3126,"gi|490147120|gb|KC544966.1|Human_bocavirus_1|2011|2011|Argentina|SA"
"6",6,3126,"gi|490147105|gb|KC544961.1|Human_bocavirus_1|2009|2009|Argentina|SA"
"7",7,3126,"gi|490147102|gb|KC544960.1|Human_bocavirus_1|2009|2009|Argentina|SA"
"8",8,3120,"gi|490147126|gb|KC544968.1|Human_bocavirus_1|2011|2011|Argentina|SA"
"9",9,3120,"gi|490147114|gb|KC544964.1|Human_bocavirus_1|2009|2009|Argentina|SA"
"10",10,3145,"gi|421976885|gb|JQ513506.1|Human_bocavirus|2008|2008|Greece|EU"
"11",11,16,"gi|260609577|gb|GQ926981.1|Human_bocavirus|01_Apr_2008|2008|China|AS"
"12",12,16,"gi|260609587|gb|GQ926983.1|Human_bocavirus|08_May_2008|2008|China|AS"
"13",13,18,"gi|378750672|gb|JQ411251.1|Human_bocavirus|2005|2005|Brazil|SA"
"14",14,3144,"gi|421976831|gb|JQ513488.1|Human_bocavirus|2006|2006|Greece|EU"
"15",15,3143,"gi|421976867|gb|JQ513500.1|Human_bocavirus|2007|2007|Greece|EU"
"16",16,3142,"gi|421976861|gb|JQ513498.1|Human_bocavirus|2007|2007|Greece|EU"
"17",17,10,"gi|407829731|gb|JX434060.1|Human_bocavirus|Jul_2009|2009|China|AS"
"18",18,10,"gi|260609582|gb|GQ926982.1|Human_bocavirus|25_Apr_2008|2008|China|AS"
"19",19,3141,"gi|421976879|gb|JQ513504.1|Human_bocavirus|2008|2008|Greece|EU"
"20",20,3141,"gi|421976858|gb|JQ513497.1|Human_bocavirus|2007|2007|Greece|EU"
"21",21,3141,"gi|421976843|gb|JQ513492.1|Human_bocavirus|2006|2006|Greece|EU"
"22",22,3143,"gi|421976837|gb|JQ513490.1|Human_bocavirus|2006|2006|Greece|EU"
"23",23,3145,"gi|421976834|gb|JQ513489.1|Human_bocavirus|2006|2006|Greece|EU"
"24",24,3143,"gi|421976855|gb|JQ513496.1|Human_bocavirus|2007|2007|Greece|EU"
"25",25,9,"gi|407829846|gb|JX434083.1|Human_bocavirus|Feb_2010|2010|China|AS"
"26",26,10,"gi|407829816|gb|JX434077.1|Human_bocavirus|Nov_2010|2010|China|AS"
"27",27,8,"gi|407829746|gb|JX434063.1|Human_bocavirus|Jul_2010|2010|China|AS"
"28",28,3141,"gi|421976876|gb|JQ513503.1|Human_bocavirus|2008|2008|Greece|EU"
"29",29,34,"gi|490344791|gb|KC823115.1|Human_bocavirus|2012|2012|Ireland|EU"
"30",30,8,"gi|407829831|gb|JX434080.1|Human_bocavirus|Jan_2011|2011|China|AS"
"31",31,9,"gi|407829801|gb|JX434074.1|Human_bocavirus|Jun_2009|2009|China|AS"
"32",32,9,"gi|407829751|gb|JX434064.1|Human_bocavirus|Apr_2011|2011|China|AS"
"33",33,3141,"gi|421976897|gb|JQ513510.1|Human_bocavirus|2008|2008|Greece|EU"
"34",34,6,"gi|407829851|gb|JX434084.1|Human_bocavirus|Jun_2010|2010|China|AS"
"35",35,3140,"gi|421976894|gb|JQ513509.1|Human_bocavirus|2008|2008|Greece|EU"
"36",36,3140,"gi|421976888|gb|JQ513507.1|Human_bocavirus|2008|2008|Greece|EU"
"37",37,3140,"gi|421976882|gb|JQ513505.1|Human_bocavirus|2008|2008|Greece|EU"
"38",38,6,"gi|407829786|gb|JX434071.1|Human_bocavirus|Aug_2010|2010|China|AS"
"39",39,6,"gi|407829856|gb|JX434085.1|Human_bocavirus|Jul_2010|2010|China|AS"
"40",40,6,"gi|407829836|gb|JX434081.1|Human_bocavirus|Jun_2009|2009|China|AS"
