File,Fasta_File_Path,Number_of_Sequences,Number_of_Nucleotides,CSV_Files
Denguevirus1.fasta,new_data/good_to_go/Denguevirus1.fasta,1785,10176,new_data/Consensus/DengueVirus1.CSV
Denguevirus2.fasta,new_data/good_to_go/Denguevirus2.fasta,1597,10173,new_data/Consensus/DengueVirus2.CSV
Denguevirus3.fasta,new_data/good_to_go/Denguevirus3.fasta,970,10170,new_data/Consensus/DengueVirus3.CSV
Denguevirus4.fasta,new_data/good_to_go/Denguevirus4.fasta,257,10206,new_data/Consensus/DengueVirus4.CSV
EnteroD68_VP1.fasta,new_data/good_to_go/EnteroD68_VP1.fasta,528,528,new_data/Consensus/EnteroD68_VP1.CSV
Enterovirus_C_VP2_Polio2.fasta,new_data/good_to_go/Enterovirus_C_VP2_Polio2.fasta,574,813,new_data/Consensus/Enterovirus_C_VP2_Polio2.CSV
EnterovirusA_VP1_EVA71.fasta,new_data/good_to_go/EnterovirusA_VP1_EVA71.fasta,3868,894,new_data/Consensus/EnterovirusA_VP1_EVA71.CSV
EnterovirusA_VP2_EVA71.fasta,new_data/good_to_go/EnterovirusA_VP2_EVA71.fasta,575,294,new_data/Consensus/EnterovirusA_VP2_EVA71.CSV
EnterovirusB_VP1_Echovirus30.fasta,new_data/good_to_go/EnterovirusB_VP1_Echovirus30.fasta,2429,876,new_data/Consensus/EnterovirusB_VP1_Echovirus30.CSV
EnterovirusB_VP2.fasta.mu.trim08,data/fasta/EnterovirusB_VP2.fasta.mu.trim08,214,283,new_data/Consensus/new_for_costly/EnterovirusB_VP2.CSV
EnterovirusC_VP1_Polio2.fasta,new_data/good_to_go/EnterovirusC_VP1_Polio2.fasta,1346,906,new_data/Consensus/EnterovirusC_VP1_Polio2.CSV
HepatitisB_core.fasta,new_data/good_to_go/HepatitisB_core.fasta,630,264,new_data/Consensus/HepatitisB_core.csv
HepatitisB_polymerase.fasta,new_data/good_to_go/HepatitisB_polymerase.fasta,6406,1620,new_data/Consensus/HepatitisB_polymerase.csv
HepatitisB_precore.fasta,new_data/good_to_go/HepatitisB_precore.fasta,1347,251,new_data/Consensus/HepatitisB_precore.csv
HepatitisB_preS.fasta,new_data/good_to_go/HepatitisB_preS.fasta,902,462,new_data/Consensus/HepatitisB_preS.csv
HepatitisB_S.fasta,new_data/good_to_go/HepatitisB_S.fasta,212,678,new_data/Consensus/HepatitisB_s.csv
HumanBoca_VP1.fasta,new_data/good_to_go/HumanBoca_VP1.fasta,302,2013,new_data/Consensus/HumanBoca_VP1.CSV
HumanHerpesvirus2_G.fasta,new_data/good_to_go/HumanHerpesvirus2_G.fasta,244,1317,new_data/Consensus/Humanherpesvirus2_G.csv
HumanPapilloma16_L1.fasta,new_data/good_to_go/HumanPapilloma16_L1.fasta,112,1458,new_data/Consensus/Humanpapilloma16_L1.csv
HumanParainfluenza1_F.fasta,new_data/good_to_go/HumanParainfluenza1_F.fasta,94,1782,new_data/Consensus/humanparainfluenza1_F.CSV
Humanparainfluenza3_HN.fasta,new_data/good_to_go/Humanparainfluenza3_HN.fasta,1760,1716,new_data/Consensus/humanparainfluenza3_HN.CSV
Humanrespiratorysyncytialvirus_G.fasta,new_data/good_to_go/Humanrespiratorysyncytialvirus_G.fasta,1760,900,new_data/Consensus/Humanrespiratorysyncytialvirus_G.csv
InfluenzaA_NA_H3N2.fasta,new_data/good_to_go/InfluenzaA_NA_H3N2.fasta,2428,1407,new_data/Consensus/InfluenzaA_NA_H3N2.CSV
InfluenzaAvirus_HA_H1N1_alignment.fasta,new_data/good_to_go/InfluenzaAvirus_HA_H1N1_alignment.fasta,19095,1710,new_data/Consensus/InfluenzaAvirus_HA_H1N1_alignment.CSV
InfluenzaAvirus_HA_H3N2_alignment.fasta,new_data/good_to_go/InfluenzaAvirus_HA_H3N2_alignment.fasta,24005,1701,new_data/Consensus/InfluenzaAvirus_HA_H3N2_alignment.CSV
InfluenzaAvirus_NA_H1N1_alignment.fasta,new_data/good_to_go/InfluenzaAvirus_NA_H1N1_alignment.fasta,19226,1410,new_data/Consensus/InfluenzaAvirus_NA_H1N1_alignment.CSV
InfluenzaB_HA.fasta,new_data/good_to_go/InfluenzaB_HA.fasta,1054,1755,new_data/Consensus/InfluenzaB_HA.CSV
InfluenzaB_NA.fasta,new_data/good_to_go/InfluenzaB_NA.fasta,3914,1398,"new_data/Consensus/InfluenzaB_NA.CSV"""
Measles_hemagglutinin_alignment.fasta,new_data/good_to_go/Measles_hemagglutinin_alignment.fasta,876,1851,new_data/Consensus/Measles_hemagglutinin_alignment.csv
ParovirusB19_NS1_alignment.fasta,new_data/good_to_go/ParovirusB19_NS1_alignment.fasta,175,2016,new_data/Consensus/ParovirusB19_NS1_alignment.csv
Parovovirus_B19_VP1_alignment.fasta,new_data/good_to_go/Parovovirus_B19_VP1_alignment.fasta,268,2343,new_data/Consensus/Parovovirus_B19_VP1_alignment.csv
RhinovirusB alignment.fasta,new_data/good_to_go/RhinovirusB alignment.fasta,41,6579,new_data/Consensus/RhinovirusB alignment.csv
RotavirusA_VP6_alignment.fasta,new_data/good_to_go/RotavirusA_VP6_alignment.fasta,4350,1197,new_data/Consensus/RotavirusA_VP6_alignment.csv
