"","num","Differences","sequencename"
"1",1,538,"gi|293631658|gb|GU943190.1|B/Singapore/DSO_010147/2007|Dec_2007|2007|Singapore|AS"
"2",2,527,"gi|293631592|gb|GU943157.1|B/Singapore/DSO_090133/2004|Oct_2004|2004|Singapore|AS"
"3",3,517,"gi|293631598|gb|GU943160.1|B/Singapore/DSO_010143/2005|Apr_2005|2005|Singapore|AS"
"4",4,534,"gi|293631622|gb|GU943172.1|B/Singapore/DSO_050622/2005|May_2005|2005|Singapore|AS"
"5",5,532,"gi|293631586|gb|GU943154.1|B/Singapore/DSO_090114/2004|Oct_2004|2004|Singapore|AS"
"6",6,518,"gi|293631642|gb|GU943182.1|B/Singapore/DSO_040203/2006|Jun_2006|2006|Singapore|AS"
"7",7,526,"gi|293631600|gb|GU943161.1|B/Singapore/DSO_010151/2005|Apr_2005|2005|Singapore|AS"
"8",8,507,"gi|293631630|gb|GU943176.1|B/Singapore/DSO_040105/2006|Jun_2006|2006|Singapore|AS"
"9",9,520,"gi|293631610|gb|GU943166.1|B/Singapore/DSO_050544/2005|Feb_2005|2005|Singapore|AS"
"10",10,502,"gi|293631590|gb|GU943156.1|B/Singapore/DSO_090131/2004|Oct_2004|2004|Singapore|AS"
"11",11,491,"gi|293631652|gb|GU943187.1|B/Singapore/DSO_020114/2007|Mar_2007|2007|Singapore|AS"
"12",12,509,"gi|293631648|gb|GU943185.1|B/Singapore/DSO_070214/2006|Dec_2006|2006|Singapore|AS"
"13",13,511,"gi|293631656|gb|GU943189.1|B/Singapore/DSO_020147/2007|Mar_2007|2007|Singapore|AS"
"14",14,504,"gi|293631654|gb|GU943188.1|B/Singapore/DSO_020132/2007|Mar_2007|2007|Singapore|AS"
"15",15,496,"gi|293631606|gb|GU943164.1|B/Singapore/DSO_050540/2005|May_2005|2005|Singapore|AS"
"16",16,502,"gi|293631626|gb|GU943174.1|B/Singapore/DSO_050629/2005|Jun_2005|2005|Singapore|AS"
"17",17,501,"gi|293631618|gb|GU943170.1|B/Singapore/DSO_050599/2005|May_2005|2005|Singapore|AS"
"18",18,506,"gi|293631588|gb|GU943155.1|B/Singapore/DSO_090124/2004|Oct_2004|2004|Singapore|AS"
"19",19,509,"gi|293631628|gb|GU943175.1|B/Singapore/DSO_050633/2005|Jun_2005|2005|Singapore|AS"
"20",20,533,"gi|293631636|gb|GU943179.1|B/Singapore/DSO_040131/2006|Jun_2006|2006|Singapore|AS"
"21",21,492,"gi|293631614|gb|GU943168.1|B/Singapore/DSO_050566/2005|May_2005|2005|Singapore|AS"
"22",22,524,"gi|293631644|gb|GU943183.1|B/Singapore/DSO_050199/2006|Jun_2006|2006|Singapore|AS"
