"","num","Differences","sequencename"
"1",1,365,"gi|482514307|gb|KC570453.1|EV_A71|03_Jun_2012|2012|China|AS"
"2",2,259,"gi|254973408|gb|GQ329826.1|Echovirus_E24|2003|2003|China|AS"
"3",3,261,"gi|254973406|gb|GQ329825.1|Echovirus_E24|2003|2003|China|AS"
"4",4,261,"gi|254973412|gb|GQ329828.1|Echovirus_E24|2006|2006|China|AS"
"5",5,261,"gi|254973410|gb|GQ329827.1|Echovirus_E24|2006|2006|China|AS"
"6",6,260,"gi|254554845|gb|GQ246520.1|Echovirus_E24|2005|2005|China|AS"
"7",7,259,"gi|254554843|gb|GQ246519.1|Echovirus_E24|2005|2005|China|AS"
"8",8,259,"gi|254973414|gb|GQ329829.1|Echovirus_E24|1999|1999|China|AS"
"9",9,263,"gi|513136946|gb|KF177087.1|Echovirus_E24|28_May_2010|2010|India|AS"
"10",10,252,"gi|513136942|gb|KF177083.1|Echovirus_E24|02_Jun_2009|2009|India|AS"
"11",11,259,"gi|409685058|gb|JX513525.1|Echovirus_E24|16_May_2009|2009|India|AS"
"12",12,258,"gi|513136941|gb|KF177082.1|Echovirus_E24|05_Jun_2010|2010|India|AS"
"13",13,258,"gi|513136948|gb|KF177089.1|Echovirus_E24|05_Jul_2010|2010|India|AS"
"14",14,258,"gi|513136947|gb|KF177088.1|Echovirus_E24|29_Jun_2010|2010|India|AS"
"15",15,254,"gi|513136944|gb|KF177085.1|Echovirus_E24|24_May_2011|2011|India|AS"
"16",16,254,"gi|513136943|gb|KF177084.1|Echovirus_E24|10_May_2011|2011|India|AS"
"17",17,253,"gi|513136945|gb|KF177086.1|Echovirus_E24|12_Jul_2010|2010|India|AS"
"18",18,286,"gi|254973434|gb|GQ329839.1|EV_B73|2004|2004|China|AS"
"19",19,290,"gi|409685252|gb|JX513592.1|EV_B77|01_Jul_2010|2010|India|AS"
"20",20,269,"gi|254973436|gb|GQ329840.1|EV_B75|1997|1997|China|AS"
"21",21,268,"gi|409685244|gb|JX513589.1|EV_B75|08_Jun_2011|2011|India|AS"
"22",22,278,"gi|409685250|gb|JX513591.1|EV_B75|19_Jun_2009|2009|India|AS"
"23",23,283,"gi|409685247|gb|JX513590.1|EV_B75|03_Jun_2009|2009|India|AS"
"24",24,260,"gi|451963828|gb|JX437657.1|Echovirus_E32|2008|2008|Cameroon|AF"
"25",25,251,"gi|513136960|gb|KF177101.1|Echovirus_E32|29_Apr_2010|2010|India|AS"
"26",26,248,"gi|513136961|gb|KF177102.1|Echovirus_E32|28_Jun_2010|2010|India|AS"
"27",27,276,"gi|513136959|gb|KF177100.1|Echovirus_E32|02_Dec_2009|2009|India|AS"
"28",28,252,"gi|513136958|gb|KF177099.1|Echovirus_E32|11_May_2009|2009|India|AS"
"29",29,254,"gi|513136957|gb|KF177098.1|Echovirus_E32|09_May_2009|2009|India|AS"
"30",30,281,"gi|409685277|gb|JX513601.1|Human_enterovirus_93|03_Aug_2009|2009|India|AS"
"31",31,287,"gi|258523399|gb|FJ868304.1|Echovirus_E17|18_Dec_1991|1991|Australia|OC"
"32",32,285,"gi|258523431|gb|FJ868320.1|Echovirus_E17|18_Dec_1991|1991|Australia|OC"
"33",33,287,"gi|258523435|gb|FJ868322.1|Echovirus_E17|08_May_1991|1991|Australia|OC"
"34",34,285,"gi|258523401|gb|FJ868305.1|Echovirus_E17|20_May_1991|1991|Australia|OC"
"35",35,277,"gi|548319054|gb|KC787156.2|Echovirus_E17|2009|2009|Cameroon|AF"
"36",36,266,"gi|254973380|gb|GQ329812.1|Echovirus_E17|2001|2001|China|AS"
"37",37,260,"gi|513136933|gb|KF177074.1|Echovirus_E20|18_May_2011|2011|India|AS"
"38",38,260,"gi|254973396|gb|GQ329820.1|Echovirus_E20|1999|1999|China|AS"
"39",39,259,"gi|254973394|gb|GQ329819.1|Echovirus_E20|1999|1999|China|AS"
"40",40,282,"gi|409685039|gb|JX513518.1|Echovirus_E20|05_Jun_2010|2010|India|AS"
"41",41,273,"gi|513136930|gb|KF177071.1|Echovirus_E20|18_Jun_2009|2009|India|AS"
"42",42,264,"gi|513136932|gb|KF177073.1|Echovirus_E20|09_Sep_2010|2010|India|AS"
"43",43,268,"gi|254973392|gb|GQ329818.1|Echovirus_E20|2001|2001|China|AS"
"44",44,271,"gi|513136935|gb|KF177076.1|Echovirus_E20|02_Nov_2010|2010|India|AS"
"45",45,278,"gi|513136934|gb|KF177075.1|Echovirus_E20|30_Nov_2010|2010|India|AS"
"46",46,267,"gi|409685042|gb|JX513519.1|Echovirus_E20|22_Jul_2008|2008|India|AS"
"47",47,269,"gi|409685047|gb|JX513521.1|Echovirus_E20|09_Oct_2010|2010|India|AS"
"48",48,269,"gi|409685044|gb|JX513520.1|Echovirus_E20|08_Oct_2010|2010|India|AS"
"49",49,270,"gi|513136931|gb|KF177072.1|Echovirus_E20|15_Jun_2009|2009|India|AS"
"50",50,254,"gi|254973390|gb|GQ329817.1|Echovirus_E19|1997|1997|China|AS"
"51",51,253,"gi|513136927|gb|KF177068.1|Echovirus_E19|12_Aug_2010|2010|India|AS"
"52",52,267,"gi|513136925|gb|KF177066.1|Echovirus_E19|02_Aug_2009|2009|India|AS"
"53",53,264,"gi|513136929|gb|KF177070.1|Echovirus_E19|18_Jun_2011|2011|India|AS"
"54",54,262,"gi|513136928|gb|KF177069.1|Echovirus_E19|25_Jul_2011|2011|India|AS"
"55",55,265,"gi|513136926|gb|KF177067.1|Echovirus_E19|07_Jul_2011|2011|India|AS"
"56",56,255,"gi|597439021|dbj|AB917082.1|Echovirus_E19|2013|2013|China|AS"
"57",57,255,"gi|597439025|dbj|AB917084.1|Echovirus_E19|2013|2013|China|AS"
"58",58,254,"gi|597439023|dbj|AB917083.1|Echovirus_E19|2013|2013|China|AS"
"59",59,269,"gi|254973386|gb|GQ329815.1|Echovirus_E19|2002|2002|China|AS"
"60",60,267,"gi|254973384|gb|GQ329814.1|Echovirus_E19|2001|2001|China|AS"
"61",61,257,"gi|409685036|gb|JX513517.1|Echovirus_E19|20_Oct_2008|2008|India|AS"
"62",62,257,"gi|409685033|gb|JX513516.1|Echovirus_E19|14_Oct_2008|2008|India|AS"
"63",63,260,"gi|409685030|gb|JX513515.1|Echovirus_E19|21_Jul_2008|2008|India|AS"
"64",64,262,"gi|409685027|gb|JX513514.1|Echovirus_E19|06_Jul_2004|2004|India|AS"
"65",65,256,"gi|254973388|gb|GQ329816.1|Echovirus_E19|2005|2005|China|AS"
"66",66,260,"gi|68138089|gb|DQ081226.1|Echovirus_E30|2003|2003|China|AS"
"67",67,269,"gi|409974529|gb|JX644163.1|Echovirus_E19|08_Mar_2011|2011|China|AS"
"68",68,269,"gi|295821526|gb|HM021733.1|Echovirus_E19|23_Feb_2009|2009|China|AS"
"69",69,267,"gi|288190863|gb|GU272019.1|Echovirus_E19|28_Aug_2009|2009|China|AS"
"70",70,256,"gi|315319099|gb|HQ674719.1|Echovirus_E11|2010|2010|Libya|NA"
"71",71,251,"gi|315319065|gb|HQ674702.1|Echovirus_E11|2005|2005|Algeria|AF"
"72",72,244,"gi|315319067|gb|HQ674703.1|Echovirus_E11|2005|2005|Algeria|AF"
"73",73,244,"gi|315319061|gb|HQ674700.1|Echovirus_E11|2005|2005|Algeria|AF"
"74",74,247,"gi|159025480|emb|AM711002.1|Echovirus_E30|2005|2005|France|EU"
"75",75,253,"gi|110350248|emb|AM236940.1|Echovirus_E11|Jul_2005|2005|France|EU"
"76",76,245,"gi|294296900|gb|GU142895.1|Echovirus_E11|17_Nov_2000|2000|Australia|OC"
"77",77,251,"gi|258523393|gb|FJ868301.1|Echovirus_E11|22_Dec_2005|2005|Australia|OC"
"78",78,248,"gi|258523391|gb|FJ868300.1|Echovirus_E11|16_Sep_2003|2003|Australia|OC"
"79",79,251,"gi|315319073|gb|HQ674706.1|Echovirus_E11|1999|1999|Tunisia|AF"
"80",80,252,"gi|315319095|gb|HQ674717.1|Echovirus_E11|1998|1998|Tunisia|AF"
"81",81,246,"gi|315319103|gb|HQ674721.1|Echovirus_E11|1998|1998|Tunisia|AF"
"82",82,248,"gi|315319101|gb|HQ674720.1|Echovirus_E11|1998|1998|Tunisia|AF"
"83",83,242,"gi|315319097|gb|HQ674718.1|Echovirus_E11|1994|1994|Tunisia|AF"
"84",84,246,"gi|315319109|gb|HQ674724.1|Echovirus_E11|1994|1994|Tunisia|AF"
"85",85,243,"gi|315319091|gb|HQ674715.1|Echovirus_E11|1995|1995|Tunisia|AF"
"86",86,245,"gi|315319077|gb|HQ674708.1|Echovirus_E11|1995|1995|Tunisia|AF"
"87",87,244,"gi|315319089|gb|HQ674714.1|Echovirus_E11|1995|1995|Tunisia|AF"
"88",88,244,"gi|315319081|gb|HQ674710.1|Echovirus_E11|1996|1996|Tunisia|AF"
"89",89,245,"gi|315319087|gb|HQ674713.1|Echovirus_E11|1995|1995|Tunisia|AF"
"90",90,245,"gi|315319085|gb|HQ674712.1|Echovirus_E11|1992|1992|Tunisia|AF"
"91",91,245,"gi|315319083|gb|HQ674711.1|Echovirus_E11|1991|1991|Tunisia|AF"
"92",92,245,"gi|315319079|gb|HQ674709.1|Echovirus_E11|1995|1995|Tunisia|AF"
"93",93,250,"gi|315319093|gb|HQ674716.1|Echovirus_E11|1992|1992|Tunisia|AF"
"94",94,269,"gi|513136894|gb|KF177035.1|Echovirus_E11|07_May_2010|2010|India|AS"
"95",95,255,"gi|380309469|gb|JF969443.1|Echovirus_E11|2010|2010|China|AS"
"96",96,252,"gi|380309443|gb|JF969430.1|Echovirus_E11|2010|2010|China|AS"
"97",97,252,"gi|380309441|gb|JF969429.1|Echovirus_E11|2010|2010|China|AS"
"98",98,252,"gi|380309439|gb|JF969428.1|Echovirus_E11|2010|2010|China|AS"
"99",99,252,"gi|380309471|gb|JF969444.1|Echovirus_E11|2010|2010|China|AS"
"100",100,252,"gi|380309455|gb|JF969436.1|Echovirus_E11|2010|2010|China|AS"
"101",101,252,"gi|380309447|gb|JF969432.1|Echovirus_E11|2010|2010|China|AS"
"102",102,252,"gi|380309445|gb|JF969431.1|Echovirus_E11|2010|2010|China|AS"
"103",103,257,"gi|513136901|gb|KF177042.1|Echovirus_E11|25_Jun_2010|2010|India|AS"
"104",104,251,"gi|513136898|gb|KF177039.1|Echovirus_E11|25_May_2009|2009|India|AS"
"105",105,261,"gi|513136902|gb|KF177043.1|Echovirus_E11|06_May_2010|2010|India|AS"
"106",106,254,"gi|513136913|gb|KF177054.1|Echovirus_E11|15_May_2010|2010|India|AS"
"107",107,254,"gi|513136914|gb|KF177055.1|Echovirus_E11|18_May_2010|2010|India|AS"
"108",108,254,"gi|409684967|gb|JX513493.1|Echovirus_E11|30_May_2010|2010|India|AS"
"109",109,254,"gi|409684965|gb|JX513492.1|Echovirus_E11|12_May_2010|2010|India|AS"
"110",110,253,"gi|513136903|gb|KF177044.1|Echovirus_E11|20_May_2010|2010|India|AS"
"111",111,253,"gi|513136900|gb|KF177041.1|Echovirus_E11|10_Jun_2010|2010|India|AS"
"112",112,253,"gi|513136899|gb|KF177040.1|Echovirus_E11|26_May_2010|2010|India|AS"
"113",113,262,"gi|409684962|gb|JX513491.1|Echovirus_E11|06_Apr_2010|2010|India|AS"
"114",114,262,"gi|513136912|gb|KF177053.1|Echovirus_E11|14_May_2010|2010|India|AS"
"115",115,265,"gi|513136910|gb|KF177051.1|Echovirus_E11|13_May_2010|2010|India|AS"
"116",116,261,"gi|513136892|gb|KF177033.1|Echovirus_E11|07_Jun_2010|2010|India|AS"
"117",117,273,"gi|409684956|gb|JX513489.1|Echovirus_E11|16_Nov_2010|2010|India|AS"
"118",118,245,"gi|409684937|gb|JX513482.1|Echovirus_E11|20_Jul_2008|2008|India|AS"
"119",119,251,"gi|409684908|gb|JX513472.1|Echovirus_E11|05_Jun_2010|2010|India|AS"
"120",120,253,"gi|409684919|gb|JX513476.1|Echovirus_E11|01_May_2008|2008|India|AS"
"121",121,253,"gi|409684911|gb|JX513473.1|Echovirus_E11|06_Jun_2010|2010|India|AS"
"122",122,247,"gi|513136897|gb|KF177038.1|Echovirus_E11|13_Jul_2010|2010|India|AS"
"123",123,246,"gi|409684902|gb|JX513470.1|Echovirus_E11|24_Apr_2008|2008|India|AS"
"124",124,247,"gi|409684899|gb|JX513469.1|Echovirus_E11|24_Apr_2008|2008|India|AS"
"125",125,246,"gi|409684905|gb|JX513471.1|Echovirus_E11|25_Apr_2008|2008|India|AS"
"126",126,251,"gi|409684942|gb|JX513484.1|Echovirus_E11|05_May_2008|2008|India|AS"
"127",127,251,"gi|409684940|gb|JX513483.1|Echovirus_E11|04_May_2008|2008|India|AS"
"128",128,250,"gi|409684925|gb|JX513478.1|Echovirus_E11|03_May_2008|2008|India|AS"
"129",129,239,"gi|315319075|gb|HQ674707.1|Echovirus_E11|1997|1997|Tunisia|AF"
