File,Fasta_File_Path,Number_of_Sequences,Number_of_Nucleotides,name,A->G Syn: CpG v NonCpG ,A->G NonSyn: CpG v NonCpG,A->G Syn v NonSyn,T->C Syn: CpG v NonCpG ,T->C NonSyn: CpG v NonCpG,T->C Syn v NonSyn,syn vs nonsyn
BKPolyomavirus_VP1.fasta,data/data_2019/data_used,222,1089,Bk Polyoma VP1,1,0,1,1,0,1,2
Denguevirus1.fasta,data/data_2019/data_used,1785,10176,Dengue 1,1,1,1,1,1,1,2
Denguevirus2.fasta,data/data_2019/data_used,1597,10173,Dengue 2,1,1,1,1,0,1,2
Denguevirus3.fasta,data/data_2019/data_used,970,10170,Dengue 3,1,1,1,1,1,1,2
Denguevirus4.fasta,data/data_2019/data_used,257,10206,Dengue 4,1,0,1,1,1,1,2
EnteroD68_VP1.fasta,data/data_2019/data_used,528,546,Entero D68 VP1,1,0,1,1,0,1,2
Enterovirus_C_VP2_Polio2.fasta,data/data_2019/data_used,574,813,Entero C VP2 Polio2,1,0,1,1,0,1,2
EnterovirusA_VP1_EVA71.fasta,data/data_2019/data_used,3868,894,Entero A VP1 EVA71,1,0,1,1,0,1,2
EnterovirusA_VP2_EVA71.fasta,data/data_2019/data_used,575,294,Entero A VP2 EVA71,0,0,1,0,0,1,2
EnterovirusB_VP1_Echovirus30.fasta,data/data_2019/data_used,2429,876,Entero B VP1 Echovirus30,1,0,1,0,0,1,2
EnterovirusB_VP2.fasta,data/data_2019/data_used,414,750,Entero B VP2 Echovirus30,1,1,1,0,0,1,2
EnterovirusC_VP1_Polio2.fasta,data/data_2019/data_used,1346,906,Entero C VP1 Polio2,1,0,1,1,0,1,2
HCV1A_CDS_Alignment.fasta,data/data_2019/data_used,415,9033,HCV 1 A,1,0,1,1,0,1,2
HCV1B_CDS_alignment.fasta,data/data_2019/data_used,243,9033,HCV 1 B,1,0,1,1,1,1,2
HepatitisB_core.fasta,data/data_2019/data_used,630,264,Hepatitis B Core,0,0,1,0,0,1,2
HepatitisB_polymerase_truncated_precore.fasta_pruned.mu.trim05.fasta,data/NESCENT_data/data_used,676,180,Hepatitis B PTP,0,0,0,0,0,0,0
HBV_Polymerase.fasta,data/data_2019/data_used,6406,1494,Hepatitis B Polymerase,1,0,1,1,1,1,2
HepatitisB_precore.fasta,data/data_2019/data_used,1347,351,Hepatitis B Precore,0,0,0,1,0,0,1
HepatitisB_preS.fasta,data/data_2019/data_used,1347,462,Hepatitis B PreS,0,0,0,0,0,0,0
HepatitisB_S.fasta,data/data_2019/data_used,902,678,Hepatitis B S,0,0,0,0,0,0,0
HIV1_FLT_2017_pol_DNA.fasta,data/data_2019/data_used,2956,3231,HIV pol Gene,1,1,1,1,0,1,2
HumanBoca_VP1.fasta,data/data_2019/data_used,212,2013,Human Boca 1 VP1,0,0,1,0,0,0,2
HumanHerpesvirus2_G.fasta,data/data_2019/data_used,302,1317,Herpes 2 Glycoprotein G,0,0,0,0,0,0,0
HumanPapilloma16_L1.fasta,data/data_2019/data_used,1105,1518,Human Papilloma 16 L1,0,0,1,0,0,1,2
Humanparainfluenza3_HN.fasta,data/data_2019/data_used,94,1716,Human Parainfluenza 3 HN,0,0,1,0,0,1,2
HumanParainfluenzavirus1_CDS_only.fasta,data/data_2019/data_used,99,14397,Human Parainfluenza 1,1,0,1,1,1,1,2
HumanRespiratorySyncytial_CDS.fasta,data/data_2019/data_used,1071,13437,Human Respiratory Syncytial,1,0,1,1,1,1,2
InfluenzaAvirus_HA_H1N1_alignment.fasta,data/data_2019/data_used,19095,1710,Influenza A HA H1N1,1,0,1,1,1,1,2
InfluenzaAvirus_HA_H3N2_alignment.fasta,data/data_2019/data_used,24005,1701,Influenza A HA H3N2,1,0,1,1,1,1,2
InfluenzaAvirus_NA_H1N1_alignment.fasta,data/data_2019/data_used,19226,1410,Influenza A NA H1N1,1,0,1,1,1,1,2
InfluenzaAvirus_NA_H3N2_alignment.fasta,data/data_2019/data_used,2428,1407,Influenza A NA H3N2,1,0,1,1,0,1,2
InfluenzaB_HA.fasta,data/data_2019/data_used,1054,1755,Influenza B HA,1,0,1,1,0,1,2
InfluenzaB_NA.fasta,data/data_2019/data_used,3914,1398,Influenza B NA,1,1,1,1,0,1,2
Measles_hemagglutinin_alignment.fasta,data/data_2019/data_used,876,1851,Measles HH,1,0,1,1,1,1,2
Parainfluenza1_HN.fasta,data/data_2019/data_used,340,1728,Human Parainfluenza 1 HN,1,0,1,1,0,1,2
Parainfulenza3_CDS.fasta,data/data_2019/data_used,461,14469,Human Parainfluenza 3,1,1,1,1,1,1,2
ParovirusB19_NS1_alignment.fasta,data/data_2019/data_used,175,2016,Parvo B19 NS1,1,0,1,1,0,1,2
Parovovirus_B19_VP1_alignment.fasta,data/data_2019/data_used,268,2343,Parvo B19 VP1,1,0,1,1,0,1,2
RhinovirusB alignment.fasta,data/data_2019/data_used,41,6579,Rhino B,1,1,1,1,1,1,2
RhinovirusC.fasta,data/data_2019/data_used,120,6531,Rhino C,1,1,0,0,1,0,2
RotavirusA_VP6_alignment.fasta,data/data_2019/data_used,4350,1197,Rota A VP6,1,1,1,1,0,1,2
