"","num","Differences","sequencename"
"1",1,8,"gi|295848711|gb|HM011426.1|Herpes_simplex_virus_2|1999|1999|Germany|EU"
"2",2,6,"gi|295848673|gb|HM011407.1|Herpes_simplex_virus_2|2008|2008|Germany|EU"
"3",3,5,"gi|295848657|gb|HM011399.1|Herpes_simplex_virus_2|2006|2006|Germany|EU"
"4",4,14,"gi|295848715|gb|HM011428.1|Herpes_simplex_virus_2|1999|1999|Germany|EU"
"5",5,5,"gi|295848611|gb|HM011376.1|Herpes_simplex_virus_2|2002|2002|Germany|EU"
"6",6,8,"gi|405168027|gb|JQ956321.1|Herpes_simplex_virus_2|2009|2009|France|EU"
"7",7,7,"gi|295848619|gb|HM011380.1|Herpes_simplex_virus_2|2003|2003|Germany|EU"
"8",8,6,"gi|295848713|gb|HM011427.1|Herpes_simplex_virus_2|1999|1999|Germany|EU"
"9",9,5,"gi|295848689|gb|HM011415.1|Herpes_simplex_virus_2|1997|1997|Germany|EU"
"10",10,3,"gi|405168039|gb|JQ956326.1|Herpes_simplex_virus_2|2008|2008|France|EU"
"11",11,5,"gi|405168037|gb|JQ956325.1|Herpes_simplex_virus_2|2008|2008|France|EU"
"12",12,5,"gi|295848637|gb|HM011389.1|Herpes_simplex_virus_2|2004|2004|Germany|EU"
"13",13,5,"gi|295848701|gb|HM011421.1|Herpes_simplex_virus_2|1998|1998|Germany|EU"
"14",14,5,"gi|295848691|gb|HM011416.1|Herpes_simplex_virus_2|1997|1997|Germany|EU"
"15",15,5,"gi|295848687|gb|HM011414.1|Herpes_simplex_virus_2|1997|1997|Germany|EU"
"16",16,5,"gi|295848613|gb|HM011377.1|Herpes_simplex_virus_2|2002|2002|Germany|EU"
"17",17,5,"gi|405168023|gb|JQ956320.1|Herpes_simplex_virus_2|2010|2010|France|EU"
"18",18,4,"gi|295848633|gb|HM011387.1|Herpes_simplex_virus_2|2004|2004|Germany|EU"
"19",19,2,"gi|295848603|gb|HM011372.1|Herpes_simplex_virus_2|2001|2001|Germany|EU"
"20",20,8,"gi|295848639|gb|HM011390.1|Herpes_simplex_virus_2|2004|2004|Germany|EU"
"21",21,5,"gi|405168033|gb|JQ956323.1|Herpes_simplex_virus_2|2007|2007|France|EU"
