"","num","Differences","sequencename"
"1",1,642,"gi|8486127|ref|NC_002018.1|A/Puerto_Rico/8/1934_H1N1_|NA|NA|Puerto_Rico|NA"
"2",2,85,"gi|148276945|gb|EF584406.1|B/Taiwan/217/97|1997|1997|Taiwan|AS"
"3",3,80,"gi|125889202|gb|CY019629.1|B/Czechoslovakia/69/1990|1990|1990|Czech_Republic|EU"
"4",4,85,"gi|148276921|gb|EF584394.1|B/Beijing/09/97|1997|1997|China|AS"
"5",5,84,"gi|148276915|gb|EF584391.1|B/Beijing/22/97|1997|1997|China|AS"
"6",6,86,"gi|148276961|gb|EF584414.1|B/Wuhan/49/98|1998|1998|China|AS"
"7",7,83,"gi|148276937|gb|EF584402.1|B/Shanghai/04/97|1997|1997|China|AS"
"8",8,84,"gi|148276957|gb|EF584412.1|B/Henan/74/98|1998|1998|China|AS"
"9",9,85,"gi|148276899|gb|EF584383.1|B/Shiga/51/98|1998|1998|Japan|AS"
"10",10,160,"gi|126598086|gb|EF467798.1|B/micona/1/1989|1989|1989|Japan|AS"
"11",11,89,"gi|327506300|gb|JF733882.1|B/Nagoya/10/2002|2002|2002|Japan|AS"
"12",12,61,"gi|327365393|gb|JF693253.1|B/Kol/542/2006|10_Oct_2006|2006|India|AS"
"13",13,42,"gi|552547388|gb|KF314368.2|B/India/P1041860/2010|05_Apr_2010|2010|India|AS"
"14",14,29,"gi|552547400|gb|KF364389.2|B/India/C117528/2010|20_Dec_2010|2010|India|AS"
"15",15,36,"gi|552547397|gb|KF364384.2|B/India/C117519/2010|30_Nov_2010|2010|India|AS"
"16",16,40,"gi|451330359|gb|KC478996.1|B/Ontario/0020252/2012|09_Feb_2012|2012|Canada|NA"
"17",17,38,"gi|327365396|gb|JF693254.1|B/Kol/583/2006|20_Oct_2006|2006|India|AS"
"18",18,33,"gi|198400359|gb|FJ183465.1|B/Vienna/23/2007|2007|2007|Austria|EU"
"19",19,56,"gi|510791451|gb|KF028393.1|B/Gainesville/04/2012|24_Jul_2012|2012|USA|NA"
"20",20,61,"gi|488465661|gb|KC891985.1|B/Delaware/08/2012|31_May_2012|2012|USA|NA"
"21",21,62,"gi|574456368|gb|KJ136202.1|B/Minnesota/04/2013|08_Apr_2013|2013|USA|NA"
"22",22,59,"gi|488465151|gb|KC891792.1|B/Alabama/01/2012|22_Feb_2012|2012|USA|NA"
"23",23,61,"gi|512771643|gb|KF216803.1|B/North_Dakota/01/2013|30_Jan_2013|2013|USA|NA"
"24",24,58,"gi|512771316|gb|KF216680.1|B/Minnesota/12/2012|06_Dec_2012|2012|USA|NA"
"25",25,58,"gi|512770901|gb|KF216525.1|B/Nevada/17/2012|14_Dec_2012|2012|USA|NA"
"26",26,61,"gi|512770773|gb|KF216477.1|B/Nevada/06/2013|05_Feb_2013|2013|USA|NA"
"27",27,60,"gi|512772448|gb|KF217106.1|B/North_Carolina/02/2013|02_Mar_2013|2013|USA|NA"
"28",28,57,"gi|512771936|gb|KF216915.1|B/Kansas/01/2013|09_Jan_2013|2013|USA|NA"
"29",29,58,"gi|488465721|gb|KC892008.1|B/New_Hampshire/02/2012|09_Jan_2012|2012|USA|NA"
"30",30,58,"gi|488465579|gb|KC891955.1|B/New_Hampshire/01/2012|03_Jan_2012|2012|USA|NA"
"31",31,58,"gi|488465424|gb|KC891896.1|B/Alaska/02/2012|12_Mar_2012|2012|USA|NA"
"32",32,58,"gi|488465202|gb|KC891812.1|B/Vermont/03/2012|05_Mar_2012|2012|USA|NA"
"33",33,58,"gi|488465039|gb|KC891752.1|B/Rhode_Island/03/2012|07_May_2012|2012|USA|NA"
"34",34,58,"gi|488464954|gb|KC891720.1|B/New_Hampshire/03/2012|24_Feb_2012|2012|USA|NA"
"35",35,58,"gi|488464760|gb|KC891648.1|B/Vermont/01/2012|07_Feb_2012|2012|USA|NA"
"36",36,60,"gi|488465345|gb|KC891866.1|B/New_Hampshire/07/2012|17_May_2012|2012|USA|NA"
"37",37,104,"gi|552049876|gb|KF700630.1|B/Palermo/101/2013|25_Feb_2013|2013|Italy|EU"
"38",38,60,"gi|568260965|gb|KF928639.1|B/California/NHRC384256/2013|03_Jan_2013|2013|USA|NA"
"39",39,59,"gi|512771887|gb|KF216897.1|B/Idaho/02/2013|10_Mar_2013|2013|USA|NA"
"40",40,58,"gi|488465643|gb|KC891979.1|B/Utah/06/2012|10_Jun_2012|2012|USA|NA"
"41",41,58,"gi|488465055|gb|KC891758.1|B/California/05/2012|03_May_2012|2012|USA|NA"
"42",42,58,"gi|488465023|gb|KC891746.1|B/Nevada/04/2012|01_May_2012|2012|USA|NA"
"43",43,58,"gi|488465560|gb|KC891948.1|B/Texas/10/2011|22_Dec_2011|2011|USA|NA"
"44",44,58,"gi|488465314|gb|KC891855.1|B/Texas/10/2011|22_Dec_2011|2011|USA|NA"
"45",45,59,"gi|398324104|gb|JX266947.1|B/Taiwan/94786/2012|14_Feb_2012|2012|Taiwan|AS"
"46",46,58,"gi|488464895|gb|KC891699.1|B/Wisconsin/09/2012|30_Jul_2012|2012|USA|NA"
"47",47,58,"gi|488465238|gb|KC891826.1|B/Hawaii/02/2012|11_Jul_2012|2012|USA|NA"
"48",48,58,"gi|488465120|gb|KC891781.1|B/Hawaii/05/2012|05_Aug_2012|2012|USA|NA"
"49",49,58,"gi|488464830|gb|KC891674.1|B/Hawaii/03/2012|13_Jul_2012|2012|USA|NA"
"50",50,58,"gi|512770731|gb|KF216462.1|B/Alabama/01/2013|09_Jan_2013|2013|USA|NA"
"51",51,58,"gi|488465471|gb|KC891915.1|B/Wyoming/02/2012|04_May_2012|2012|USA|NA"
"52",52,58,"gi|488465233|gb|KC891824.1|B/Nevada/01/2012|05_Mar_2012|2012|USA|NA"
"53",53,57,"gi|488465158|gb|KC891795.1|B/Hawaii/07/2012|01_Aug_2012|2012|USA|NA"
"54",54,57,"gi|488466016|gb|KC892119.1|B/Massachusetts/02/2012|13_Mar_2012|2012|USA|NA"
"55",55,57,"gi|488465863|gb|KC892062.1|B/Texas/08/2012|03_Apr_2012|2012|USA|NA"
"56",56,57,"gi|488465687|gb|KC891996.1|B/Massachusetts/05/2012|14_May_2012|2012|USA|NA"
"57",57,57,"gi|488465408|gb|KC891890.1|B/Texas/04/2012|22_Mar_2012|2012|USA|NA"
"58",58,57,"gi|488465210|gb|KC891815.1|B/Massachusetts/02/2012|13_Mar_2012|2012|USA|NA"
"59",59,57,"gi|488465997|gb|KC892112.1|B/Hawaii/10/2012|25_Jul_2012|2012|USA|NA"
"60",60,57,"gi|488465979|gb|KC892105.1|B/Hawaii/10/2012|25_Jul_2012|2012|USA|NA"
"61",61,57,"gi|488465282|gb|KC891843.1|B/Hawaii/04/2012|20_Jul_2012|2012|USA|NA"
"62",62,57,"gi|488465246|gb|KC891829.1|B/Hawaii/01/2012|03_Jul_2012|2012|USA|NA"
"63",63,57,"gi|488465913|gb|KC892081.1|B/Texas/11/2012|23_Jun_2012|2012|USA|NA"
"64",64,57,"gi|488465605|gb|KC891965.1|B/Wisconsin/04/2012|05_Apr_2012|2012|USA|NA"
"65",65,57,"gi|488465217|gb|KC891818.1|B/Oregon/02/2012|06_Mar_2012|2012|USA|NA"
"66",66,57,"gi|451330371|gb|KC479000.1|B/Ontario/0010605/2012|09_Mar_2012|2012|Canada|NA"
"67",67,56,"gi|512771792|gb|KF216859.1|B/Maryland/08/2012|06_Nov_2012|2012|USA|NA"
"68",68,56,"gi|488465903|gb|KC892077.1|B/Delaware/06/2012|18_Apr_2012|2012|USA|NA"
"69",69,56,"gi|488465763|gb|KC892024.1|B/Washington/01/2012|25_Jan_2012|2012|USA|NA"
"70",70,56,"gi|488465617|gb|KC891970.1|B/Idaho/06/2011|30_Dec_2011|2011|USA|NA"
"71",71,56,"gi|488465400|gb|KC891887.1|B/Washington/03/2012|05_Mar_2012|2012|USA|NA"
"72",72,56,"gi|488465392|gb|KC891884.1|B/Nebraska/02/2012|20_Mar_2012|2012|USA|NA"
"73",73,56,"gi|488464938|gb|KC891714.1|B/Nebraska/01/2012|22_Feb_2012|2012|USA|NA"
"74",74,56,"gi|398324107|gb|JX266948.1|B/Taiwan/94748/2012|14_Jan_2012|2012|Taiwan|AS"
"75",75,56,"gi|398324101|gb|JX266946.1|B/Taiwan/94564/2011|17_Dec_2011|2011|Taiwan|AS"
"76",76,55,"gi|574456456|gb|KJ136235.1|B/Wyoming/04/2013|03_Apr_2013|2013|USA|NA"
"77",77,59,"gi|512772069|gb|KF216965.1|B/New_York/12/2012|19_Oct_2012|2012|USA|NA"
"78",78,58,"gi|512770749|gb|KF216468.1|B/New_York/11/2012|12_Sep_2012|2012|USA|NA"
"79",79,56,"gi|590123119|gb|KJ532224.1|B/New_Hampshire/06/2013|06_Dec_2013|2013|USA|NA"
"80",80,53,"gi|398324098|gb|JX266945.1|B/Taiwan/94543/2011|09_Dec_2011|2011|Taiwan|AS"
"81",81,55,"gi|402726322|dbj|AB744212.1|B/Hokkaido/FO/2012|12_Apr_2012|2012|Japan|AS"
"82",82,57,"gi|590123090|gb|KJ532213.1|B/Florida/09/2013|03_Dec_2013|2013|USA|NA"
"83",83,58,"gi|574456286|gb|KJ136171.1|B/Arizona/06/2013|30_May_2013|2013|USA|NA"
"84",84,59,"gi|512772218|gb|KF217020.1|B/Colorado/03/2013|14_Jan_2013|2013|USA|NA"
"85",85,57,"gi|512771296|gb|KF216673.1|B/Oregon/04/2012|31_Dec_2012|2012|USA|NA"
"86",86,55,"gi|512770984|gb|KF216555.1|B/Montana/02/2013|06_Mar_2013|2013|USA|NA"
"87",87,58,"gi|512772158|gb|KF216998.1|B/New_Mexico/03/2012|03_Nov_2012|2012|USA|NA"
"88",88,58,"gi|512771994|gb|KF216937.1|B/California/01/2013|03_Jan_2013|2013|USA|NA"
"89",89,58,"gi|512771634|gb|KF216800.1|B/Wyoming/02/2013|01_Feb_2013|2013|USA|NA"
