"","num","Differences","sequencename"
"1",1,643,"gi|8486156|ref|NC_002209.1|Influenza_B_virus|NA|NA|NA|NA"
"2",2,604,"gi|334182062|gb|CY090970.1|A/New_Jersey/NHRC0001/2003_H3N2_|26_Nov_2003|2003|USA|NA"
"3",3,612,"gi|334184216|gb|CY091106.1|A/Texas/NHRC0001/2002_H3N2_|22_Jan_2002|2002|USA|NA"
"4",4,614,"gi|336390709|gb|CY092238.1|A/Australia/NHRC0010/2005_H3N2_|13_Jun_2005|2005|Australia|OC"
"5",5,610,"gi|334188781|gb|CY091266.1|A/Singapore/NHRC0007/2003_H3N2_|08_Oct_2003|2003|Singapore|AS"
"6",6,603,"gi|82501639|gb|CY006472.1|A/New_York/516/1997_H3N2_|26_Dec_1997|1997|USA|NA"
"7",7,578,"gi|334188786|gb|CY091268.1|A/Singapore/NHRC0007/2003_H3N2_|08_Oct_2003|2003|Singapore|AS"
"8",8,577,"gi|336390714|gb|CY092240.1|A/Australia/NHRC0010/2005_H3N2_|13_Jun_2005|2005|Australia|OC"
"9",9,576,"gi|82501644|gb|CY006474.1|A/New_York/516/1997_H3N2_|26_Dec_1997|1997|USA|NA"
"10",10,571,"gi|334182067|gb|CY090972.1|A/New_Jersey/NHRC0001/2003_H3N2_|26_Nov_2003|2003|USA|NA"
"11",11,576,"gi|334184221|gb|CY091108.1|A/Texas/NHRC0001/2002_H3N2_|22_Jan_2002|2002|USA|NA"
"12",12,212,"gi|426308729|gb|CY100556.1|A/Mexico/InDRE2118/2005_H3N2_|2005|2005|Mexico|NA"
"13",13,281,"gi|459447353|dbj|AB745486.2|A/duck/Mongolia/301/2001_H3N2_|2001|2001|Mongolia|AS"
"14",14,234,"gi|611960881|gb|KJ623711.1|A/Pavia/07/2014_H3N2_|Jan_2014|2014|Italy|EU"
"15",15,223,"gi|402244091|emb|HE774670.1|A/swine/Spain/SF32071/2007_H3N2_|2007|2007|Spain|EU"
"16",16,240,"gi|425886388|gb|KC142128.1|A/swine/Gent/172/2008_H3N2_|05_Sep_2008|2008|Belgium|EU"
"17",17,228,"gi|224979404|gb|FJ798773.1|A/swine/Hungary/13509/2007_H3N2_|Aug_2007|2007|Hungary|EU"
