Site,Partition,&alpha; ,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length
1,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
2,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
3,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
4,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
5,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
6,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
7,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
8,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
9,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
10,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
11,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
12,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
13,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
14,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
15,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
16,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
17,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
18,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
19,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
20,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
21,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
22,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
23,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
24,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
25,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
26,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
27,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
28,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
29,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
30,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
31,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
32,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
33,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
34,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
35,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
36,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
37,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
38,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
39,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
40,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
41,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
42,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
