"","num","Differences","sequencename"
"1",1,5439,"gi|532129987|gb|KF530267.1|HRSV|2007|2007|South_Africa|AF"
"2",2,3974,"gi|17939982|gb|AF295543.1|Bovine_respiratory_syncytial_virus_ATCC51908|NA|NA|NA|NA"
"3",3,6320,"gi|352962965|gb|JF920060.1|Human_respiratory_syncytial_virus|14_Nov_98|1998|USA|NA"
"4",4,5929,"gi|604643602|gb|KJ627363.1|HRSV|02_May_11|2011|Peru|SA"
"5",5,5831,"gi|604643598|gb|KJ627323.1|HRSV|02_Jun_11|2011|Peru|SA"
"6",6,4058,"gi|352963168|gb|JN032121.1|Respiratory_syncytial_virus|03_Mar_10|2010|USA|NA"
"7",7,4578,"gi|558651850|gb|KF826818.1|HRSV|05_Mar_09|2009|Italy|EU"
"8",8,3902,"gi|604643596|gb|KJ627265.1|HRSV|28_May_11|2011|Peru|SA"
"9",9,3739,"gi|533205949|gb|KF530265.1|HRSV|01_Mar_09|2009|Germany|EU"
"10",10,3545,"gi|558651349|gb|KF826819.1|HRSV|19_Mar_09|2009|Italy|EU"
"11",11,3137,"gi|604641910|gb|KJ627249.1|HRSV|01_May_08|2008|Peru|SA"
"12",12,2808,"gi|589344065|gb|KF826853.2|HRSV|01_Feb_08|2008|Germany|EU"
"13",13,2933,"gi|604643014|gb|KJ627331.1|HRSV|04_Jun_11|2011|Peru|SA"
"14",14,2796,"gi|558651467|gb|KF826829.1|HRSV|13_Dec_05|2005|Mexico|NA"
"15",15,2791,"gi|558651419|gb|KF826825.1|HRSV|18_Oct_04|2004|Mexico|NA"
"16",16,2797,"gi|384872840|gb|JQ582844.1|Human_respiratory_syncytial_virus|2002|2002|USA|NA"
"17",17,2822,"gi|509138887|gb|JX576735.1|Human_respiratory_syncytial_virus|23_Jan_12|2012|Netherlands|EU"
"18",18,2816,"gi|509138863|gb|JX576733.1|Human_respiratory_syncytial_virus|05_Feb_12|2012|Netherlands|EU"
"19",19,2850,"gi|604643139|gb|KJ627340.1|HRSV|28_Feb_12|2012|Peru|SA"
"20",20,2854,"gi|604643166|gb|KJ627342.1|HRSV|23_Feb_12|2012|Peru|SA"
"21",21,2853,"gi|604642091|gb|KJ627262.1|HRSV|14_Mar_12|2012|Peru|SA"
"22",22,2823,"gi|509138899|gb|JX576736.1|Human_respiratory_syncytial_virus|07_Jan_12|2012|Netherlands|EU"
"23",23,2822,"gi|509138875|gb|JX576734.1|Human_respiratory_syncytial_virus|29_Jan_12|2012|Netherlands|EU"
"24",24,2824,"gi|509138911|gb|JX576737.1|Human_respiratory_syncytial_virus|21_Dec_10|2010|Netherlands|EU"
"25",25,2820,"gi|558651814|gb|KF826858.1|HRSV|04_Mar_09|2009|Italy|EU"
"26",26,2816,"gi|509138959|gb|JX576741.1|Human_respiratory_syncytial_virus|22_Dec_09|2009|Netherlands|EU"
"27",27,2843,"gi|604642393|gb|KJ627285.1|HRSV|09_Jun_11|2011|Peru|SA"
"28",28,2819,"gi|352963156|gb|JN032120.1|Respiratory_syncytial_virus|21_Jan_10|2010|USA|NA"
"29",29,2796,"gi|509138935|gb|JX576739.1|Human_respiratory_syncytial_virus|28_Dec_09|2009|Netherlands|EU"
"30",30,2835,"gi|604642283|gb|KJ627277.1|HRSV|19_May_11|2011|Peru|SA"
"31",31,2832,"gi|604643028|gb|KJ627332.1|HRSV|13_Jun_11|2011|Peru|SA"
"32",32,2833,"gi|604641881|gb|KJ627247.1|HRSV|03_Jun_11|2011|Peru|SA"
"33",33,2803,"gi|509138971|gb|JX576742.1|Human_respiratory_syncytial_virus|20_Dec_09|2009|Netherlands|EU"
"34",34,2797,"gi|558651646|gb|KF826844.1|HRSV|19_Oct_08|2008|Mexico|NA"
"35",35,2801,"gi|558651634|gb|KF826843.1|HRSV|07_Sep_08|2008|Mexico|NA"
